,Species,Model_name,Trait,B0,E,T_pk,E_D,E_D_L,Est_Tpk,Max_response,Slope,Intercept,R_Squared,AIC,BIC,Delta_AIC,Delta_BIC,Best_Type,Rank,Corrected,Number_Of_Data_Points,Points_Before_Peak,Points_After_Peak,Number_Of_Variables,Tpk_std,Response_std,E_std,B0_est,E_est,E_D_est,E_D_L_est,T_pk_est,FinalID,OriginalID,Citation,Latitude,Longitude,ConKingdom,ConPhylum,ConClass,ConOrder,ConFamily,ConGenus,ConSpecies,OptimalConditions,RespiratoryPathway,ConLabGrowthTemp
321_Sch_TF_TKP,Acidianus brierleyi,schoolfield_two_factor_tpk,Fe3+ Oxidation Rate,-16.67948618313631,2.131892806966264,342.70477459015797,4.182228016966557,NA,342.5823000000051,2.674842149918604,NA,NA,0.882177951255171,-24.817644092990534,-19.622357444914243,NA,NA,schoolfield_two_factor_tpk,1,False,14,9,5,4,0.928216341227737,0.4382436916962948,0.6511818811329905,-1.2639776182629652,0.6425368077827835,1.249754620871598,-7.052604924794381,341.5694,321,Fig4_A_brierleyi,"2005, P.D. Franzmann and C.M. Haddad and R.B. Hawkes and W.J. Robertson and J.J. Plumb, 'Effects of temperature on the rates of iron and sulfur oxidation by selected bioleaching Bacteria and Archaea: Application of the Ratkowsky equation'. Minerals Engineering, 18(13-14),pp1304-1314",NA,NA,Archaea,Crenarchaeota,Thermoprotei,Sulfolobales,Sulfolobaceae,Acidianus,brierleyi,True,C19,NA
216_Sch_TF_TKP,Acidianus infernus,schoolfield_two_factor_tpk,Specific Growth Rate,-8.742792362609807,1.1400449558804346,365.2519408389186,1.5438263603601308,NA,365.1735000000067,8.375601870892762,NA,NA,0.984414565782854,-5.710908937132222,-4.752111590991948,NA,NA,schoolfield_two_factor_tpk,1,False,6,5,1,4,3.6358857769329616,2.160108432546638,0.45614834304911983,0.5165054628971552,1.6351705478626037,10.005652969685732,-3.2703410957252075,363.1642,216,Segerer_1986_A_infernus,"Segerer, A. et al 1986, 'Acidianus infernus gen. nov. sp. nov. and Acidianus brierleyi comb. nov. : Facultatively Aerobic, Extremely Acidophilic Thermophilic Sulfur-Metabolizing Archaebacteria' INTERNATIONAL JOURNAL OF SYSTEMATIC BACTERIOLOGY 36 (559-564) ",NA,NA,Archaea,Crenarchaeota,Thermoprotei,Sulfolobales,Sulfolobaceae,Acidianus,infernus,True,C19,NA
503_Sch_TF_TKP,Acidianus manzaensis,schoolfield_two_factor_tpk,Specific Growth Rate,-6.5408384453297135,0.7225314752915029,352.03582792341484,3.267834192818139,NA,351.9619000000054,1.0894016577885204,NA,NA,0.9919887193177205,-29.11484374783045,-29.067654185659947,NA,NA,schoolfield_two_factor_tpk,1,False,5,2,3,4,0.8978813952857952,0.06953658597470724,0.1438595339375342,-0.9694383760850471,1.8892805328403246,2.6802016849914745,-3.778561065680649,353.31329999999997,503,Yoshida_2006_A_manzaensis,"Yoshida, N., Nakasato, M., Ohmura, N., Ando, A., Saiki, H., Ishii, M., & Igarashi, Y. (2006). Acidianus manzaensis sp. nov., a novel thermoacidophilic Archaeon growing autotrophically by the oxidation of H2 with the reduction of Fe 3+. Current Microbiology, 53(5), 406-411.",40.27,140.8,Archaea,Crenarchaeota,Thermoprotei,Sulfolobales,Sulfolobaceae,Acidianus,manzaensis,True,F3,70.0
70_Sch_TF_TKP,Acidianus sp. ale1,schoolfield_two_factor_tpk,Specific Growth Rate,-3.5493015482172665,0.48163682125012497,351.9573289238247,36.21767682043834,NA,351.8196000000064,2.7629765585455175,NA,NA,0.9752725793566058,-15.851886690040956,-15.804697127870455,NA,NA,schoolfield_two_factor_tpk,1,False,5,4,1,4,NA,NA,NA,-0.060004813937029056,2.1207012360220405,2.6118930693135725,-4.241402472044081,348.2304,70,Giaveno_2013_ALE1,"2013,  Giaveno, M.A et al., 'Physiologic Versatility and Growth Flexibility as the Main Characteristics of a Novel Thermoacidophilic Acidianus Strain Isolated from Copahue Geothermal Area in Argentina', ENVIRONMENTAL MICROBIOLOGY, 65, (336-346)",37.48,71.5,Archaea,Crenarchaeota,Thermoprotei,Sulfolobales,Sulfolobaceae,Acidianus,NA,True,F3,NA
59_Sch_TF_TKP,Acidibacter ferrireducens,schoolfield_two_factor_tpk,Specific Growth Rate,-6.288467165250563,1.553545159205769,307.61115075655175,4.660052280011906,NA,307.5216000000026,2.008513790040564,NA,NA,0.9754985219048972,-25.655051785555408,-23.925501040278842,NA,NA,schoolfield_two_factor_tpk,1,False,7,3,4,4,0.4542109531925599,0.1864876224304437,0.43473699748807754,-0.060004813937029056,1.1066468554787217,1.6432907507804844,-2.2132937109574433,308.1414,59,Falagan_2014_A_ferrireducens,"2014,  Falagan, C. & Johnson, DB., 'Acidibacter ferrireducens gen. nov., sp. nov.: an acidophilic ferriciron-reducing gammaproteobacterium', Extremophiles, 18, (1067-1073)",37.46066,6.49031,Bacteria,Proteobacteria,Gammaproteobacteria,NA,NA,Acidibacter,ferrireducens,True,Aerobic,NA
110_Sch_TF_TKP,Acidicaldus organivorans,schoolfield_two_factor_tpk,Specific Growth Rate,-13.134715530109233,1.7188362532500776,325.1348330111828,2.643850969062166,NA,324.9870000000027,0.08100278651652139,NA,NA,1.0,0.0,-292.61900838835635,NA,NA,schoolfield_two_factor_tpk,1,False,4,2,2,4,NA,NA,NA,-2.4683206942797518,1.5118638401124267,5.20347251823053,-3.4574081825998277,322.81964401476057,110,Johnson_2006_A_organivorus,"2006, Johnson, D. et al, 'Isolation and characterization of Acidicaldus organivorus, gen. nov., sp. nov.: a novel sulfur-oxidizing, ferric iron-reducing thermo-acidophilic heterotrophic Proteobacterium', Arch Microbiol, 185 (212-221)",44.0,110.0,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Acidicaldus,organivorans,True,Aerobic,45.0
204_Sch_TF_TKP,Acidilobus aceticus,schoolfield_two_factor_tpk,Specific Growth Rate,-17.674377340275118,2.054075819287732,357.4765261733818,3.2302947390361734,NA,357.40060000000324,6.648001701532127,NA,NA,0.9974486197904137,-18.8446341121058,-18.7974445499353,NA,NA,schoolfield_two_factor_tpk,1,False,5,3,2,4,0.3170562095276573,0.5748253168530115,0.365167656609394,1.020088426963843,1.3760009281714147,3.307781389992094,-2.7520018563428295,358.188,204,Prokofeva_2000_A_aceticus,"Prokofeva, M. I., Miroshnichenko, M. L., Kostrikina, N. A., Chernyh, N. A., Kuznetsov, B. B., Tourova, T. P., & Bonch-Osmolovskaya, E. A. (2000). Acidilobus aceticus gen. nov., s.p. nov., a novel anaerobic thermoacidophilic archaeon from continental hot vents in Kamchatka. International Journal of Systematic and Evolutionary Microbiology, 50(6), 2001-2008.",NA,NA,Archaea,Crenarchaeota,Thermoprotei,Acidilobales,Acidilobaceae,Acidilobus,aceticus,True,Fermentation,80.0
33_Sch_TF_TKP,Acidilobus sulfurireducens,schoolfield_two_factor_tpk,Specific Growth Rate,-37.71577330889678,3.9685602421154966,353.4488742130897,7.138111763656408,NA,353.35000000000525,0.7896037619272162,NA,NA,0.8245116994694479,-27.82028381490013,-25.42307610650095,NA,NA,schoolfield_two_factor_tpk,1,False,8,4,4,4,1.013986576761371,0.2299120357328861,3.0570047924916537,-1.5986166738025172,0.5812825577522374,1.0100145779090746,-1.1625651155044747,354.15,33,Boyd_Acidilobus_sulfurireducens_growth,"2007,  Boyd, E. et al, 'Isolation, Characterization, and Ecology of Sulfur-Respiring Crenarchaea Inhabiting Acid-Sulfate-Chloride-Containing Geothermal Springs in Yellowstone National Park', APPLIED AND ENVIRONMENTAL MICROBIOLOGY 73 (6669<U+0096>6677)",44.43,110.42,Archaea,Crenarchaeota,Thermoprotei,Acidilobales,Acidilobaceae,Acidilobus,sulfurireducens,True,C19,NA
35_Sch_TF_TKP,Acidilobus sulfurireducens,schoolfield_two_factor_tpk,Sulphide Production,-35.67652354822765,4.637350876460356,352.8372166198423,7.414549332575909,NA,352.7500000000051,2495.3185549310037,NA,NA,0.9679545711070784,88.32621079773357,90.72341850613275,NA,NA,schoolfield_two_factor_tpk,1,False,8,3,5,4,0.4623422001073417,302.3284609765575,1.8127855890859037,4.601704379011525,0.5666725918966533,1.0285410773992032,-1.1333451837933066,354.15,35,Boyd_Acidilobus_sulfurireducens_sulfur,"2007,  Boyd, E. et al, 'Isolation, Characterization, and Ecology of Sulfur-Respiring Crenarchaea Inhabiting Acid-Sulfate-Chloride-Containing Geothermal Springs in Yellowstone National Park', APPLIED AND ENVIRONMENTAL MICROBIOLOGY 73 (6669<U+0096>6677)",44.43,110.42,Archaea,Crenarchaeota,Thermoprotei,Acidilobales,Acidilobaceae,Acidilobus,sulfurireducens,True,C19,NA
322_Sch_TF_TKP,Acidimicrobium ferrooxidans,schoolfield_two_factor_tpk,Fe3+ Oxidation Rate,-1.6162960127236428,0.6113998096961892,321.0424252764124,2.7210235863147103,NA,320.975800000006,7.409974154726964,NA,NA,0.8825818247940724,-6.199227082936673,1.0233851056804415,NA,NA,schoolfield_two_factor_tpk,1,False,21,15,6,4,0.8607988789492799,0.502743141461216,0.1046105075139135,0.4526539909106225,1.6245833380388734,3.775592281554843,0.8685209583642088,320.4726,322,Fig4_A_ferrooxidans,"2005, P.D. Franzmann and C.M. Haddad and R.B. Hawkes and W.J. Robertson and J.J. Plumb, 'Effects of temperature on the rates of iron and sulfur oxidation by selected bioleaching Bacteria and Archaea: Application of the Ratkowsky equation'. Minerals Engineering, 18(13-14),pp1304-1314",NA,NA,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,Acidimicrobiaceae,Acidimicrobium,ferrooxidans,True,F4,NA
84_Sch_TF_TKP,Acidiplasma cupricumulans,schoolfield_two_factor_tpk,Root(1/time to increase Fe2+ to 2g L^-1),6.770951832746596,0.44137544409742646,326.00371176189725,2.581880682468726,NA,325.91570000000445,15102.050666146493,NA,NA,0.9671287607482574,246.8930495272927,253.87171089506265,NA,NA,schoolfield_two_factor_tpk,1,False,20,15,5,4,0.3425291812386988,240.15450141183896,0.04113316776477023,9.033823388801764,2.214443502427767,4.950963312337936,0.9115563139452201,321.78909999999996,84,Hawkes_2006_1,"Hawkes, R. B., Franzmann, P. D., O'hara, G., & Plumb, J. J. (2006). Ferroplasma cupricumulans sp. nov., a novel moderately thermophilic, acidophilic archaeon isolated from an industrial-scale chalcocite bioleach heap. Extremophiles, 10(6), 525-530.",NA,NA,Archaea,Euryarchaeota,Thermoplasmata,Thermoplasmatales,Ferroplasmaceae,Acidiplasma,cupricumulans,True,F4,50.0
85_Sch_TF_TKP,Acidiplasma cupricumulans,schoolfield_two_factor_tpk,Root(1/time for turbidity to increase by 0.2),6.1783913831885044,0.5149747859408986,325.5923155990269,3.99973842205507,NA,325.4670000000049,14230.936477564635,NA,NA,0.9293529080114206,289.8363781547462,297.05899034336335,NA,NA,schoolfield_two_factor_tpk,1,False,21,15,6,4,0.5125273748787663,467.81308061183415,0.057939167986720344,8.494279089138383,1.748421120272035,2.7047380950893984,1.047211139717462,321.7723,85,Hawkes_2006_2,"Hawkes, R. B., Franzmann, P. D., O'hara, G., & Plumb, J. J. (2006). Ferroplasma cupricumulans sp. nov., a novel moderately thermophilic, acidophilic archaeon isolated from an industrial-scale chalcocite bioleach heap. Extremophiles, 10(6), 525-530.",NA,NA,Archaea,Euryarchaeota,Thermoplasmata,Thermoplasmatales,Ferroplasmaceae,Acidiplasma,cupricumulans,True,F4,50.0
327_Sch_TF_TKP,Acidiplasma cupricumulans,schoolfield_two_factor_tpk,Fe2+ Oxidation Rate,-3.580319479643869,0.5764351157246852,327.9073622633132,5.103291446316965,NA,327.8551000000061,1.4740186217915212,NA,NA,0.9628457512654229,-94.66827722345661,-87.68961585568665,NA,NA,schoolfield_two_factor_tpk,1,False,20,15,5,4,0.39489936692791866,0.044096500847463374,0.04474035509906281,-1.320596512262473,1.6368109612436808,2.3869919210052455,0.560822115460667,324.8302,327,Fig5_F_cyprexacervatum,"2005, P.D. Franzmann and C.M. Haddad and R.B. Hawkes and W.J. Robertson and J.J. Plumb, 'Effects of temperature on the rates of iron and sulfur oxidation by selected bioleaching Bacteria and Archaea: Application of the Ratkowsky equation'. Minerals Engineering, 18(13-14),pp1304-1314",NA,NA,Archaea,Euryarchaeota,Thermoplasmata,Thermoplasmatales,Ferroplasmaceae,Acidiplasma,cupricumulans,True,F4,NA
80_Sch_TF_TKP,Acidithiobacillus caldus,schoolfield_two_factor_tpk,Specific Growth Rate,-0.8679218241981009,0.4647456349475154,320.4465879326467,5.871936974532732,NA,320.38590000000454,7.119495118439139,NA,NA,0.9944672900364561,-20.370827960351406,-19.412030614211133,NA,NA,schoolfield_two_factor_tpk,1,False,6,4,2,4,0.2613074051764149,0.15541439791164854,0.03392055346108207,1.1702257234776428,2.0233615285157303,3.1683055706098617,-4.0467230570314605,318.17589999999996,80,Hallberg_1994_T_Caldus,"1994,  Hallberg, K.B. et al., 'Characterization of Thiobacillus caldus sp. nov., a moderately thermophilic acidophile', Microbiology 140, (3451-3456)",NA,NA,Bacteria,Proteobacteria,Acidithiobacillia,Acidithiobacillales,Acidithiobacillaceae,Acidithiobacillus,caldus,True,C14,45.0
317_Sch_TF_TKP,Acidithiobacillus caldus,schoolfield_two_factor_tpk,Sulphur Oxidation Rate,-2.9962073189183216,0.19908340847226125,323.55002089387295,22.45244408886004,NA,323.4851000000067,0.18486465474639432,NA,NA,0.847078988933459,-148.02692761771985,-141.30473272188766,NA,NA,schoolfield_two_factor_tpk,1,False,19,17,2,4,1.1075867054098103,0.1398933155742896,0.03724105213382562,-2.503223788968186,3.0939955667043146,3.3526706639954957,1.5637246302481516,319.0285,317,Fig3_A_caldus,"2005, P.D. Franzmann and C.M. Haddad and R.B. Hawkes and W.J. Robertson and J.J. Plumb, 'Effects of temperature on the rates of iron and sulfur oxidation by selected bioleaching Bacteria and Archaea: Application of the Ratkowsky equation'. Minerals Engineering, 18(13-14),pp1304-1314",NA,NA,Bacteria,Proteobacteria,Gammaproteobacteria,Acidithiobacillales,Acidithiobacillaceae,Acidithiobacillus,caldus,True,C16,NA
81_Sch_TF_TKP,Acidithiobacillus ferrivorans,schoolfield_two_factor_tpk,Specific Growth Rate,-4.423122293833647,1.8745640764396618,301.6468873559542,2.1656927315542496,NA,301.499800000003,2.9781636032084005,NA,NA,0.9896507153707265,-36.7117802835857,-34.98222953830914,NA,NA,schoolfield_two_factor_tpk,1,False,7,4,3,4,0.4173011218682232,0.3503012160544372,0.4057748968672195,1.020088426963843,2.9056945856868857,7.557125134621925,-5.811389171373771,303.18649999999997,81,Hallberg_2009_A_ferrivorans,"Hallberg, K. B., Gonz??lez-Toril, E., & Johnson, D. B. (2009). Acidithiobacillus ferrivorans, sp. nov.; facultatively anaerobic, psychrotolerant iron-, and sulfur-oxidizing acidophiles isolated from metal mine-impacted environments. Extremophiles, 14(1), 9-19.",NA,NA,Bacteria,Proteobacteria,Acidithiobacillia,Acidithiobacillales,Acidithiobacillaceae,Acidithiobacillus,ferrivorans,True,F4,NA
318_Sch_TF_TKP,Acidithiobacillus ferrooxidans,schoolfield_two_factor_tpk,Sulphur Oxidation Rate,-4.00094758803457,0.20330468989850203,303.2587360845527,2.4879703732929084,NA,303.18280000000544,0.03959924079632775,NA,NA,0.7465150109384853,-192.02869808604038,-185.86263136575928,NA,NA,schoolfield_two_factor_tpk,1,False,17,12,5,4,1.4022105300112393,0.006160998212209751,0.05770816260976118,-3.581675087863704,4.630198130595681,6.9400518627941,2.45550419505978,303.60923234667973,318,Fig3_A_ferrooxidans,"2005, P.D. Franzmann and C.M. Haddad and R.B. Hawkes and W.J. Robertson and J.J. Plumb, 'Effects of temperature on the rates of iron and sulfur oxidation by selected bioleaching Bacteria and Archaea: Application of the Ratkowsky equation'. Minerals Engineering, 18(13-14),pp1304-1314",NA,NA,Bacteria,Proteobacteria,Gammaproteobacteria,Acidithiobacillales,Acidithiobacillaceae,Acidithiobacillus,ferrooxidans,True,C16,NA
319_Sch_TF_TKP,Acidithiobacillus thiooxidans,schoolfield_two_factor_tpk,Sulphur Oxidation Rate,-3.6220639569219837,0.5092132986163531,305.2751253031644,5.301284060248622,NA,305.15410000000566,0.23516540080492432,NA,NA,0.9754101897630025,-176.45328163522106,-169.47462026745112,NA,NA,schoolfield_two_factor_tpk,1,False,20,14,6,4,0.3082711631016486,0.005693589598772575,0.03542971862884204,-1.697351514488206,1.7893740511187326,2.4058240902138186,0.42446822571553633,302.7595,319,Fig3_A_thiooxidans,"2005, P.D. Franzmann and C.M. Haddad and R.B. Hawkes and W.J. Robertson and J.J. Plumb, 'Effects of temperature on the rates of iron and sulfur oxidation by selected bioleaching Bacteria and Archaea: Application of the Ratkowsky equation'. Minerals Engineering, 18(13-14),pp1304-1314",NA,NA,Bacteria,Proteobacteria,Gammaproteobacteria,Acidithiobacillales,Acidithiobacillaceae,Acidithiobacillus,thiooxidans,True,C16,NA
113_Sch_TF_TKP,Acidocella aromatica,schoolfield_two_factor_tpk,Specific Growth Rate,-2.4391547677989345,1.0647418560142412,304.2604335418247,4.0597831017910995,NA,304.15090000000305,6.554475095750398,NA,NA,0.9629258500290487,-8.473804369119534,-6.744253623842969,NA,NA,schoolfield_two_factor_tpk,1,False,7,4,3,4,0.5530531167981417,0.5916302408099534,0.27375597023098835,1.4511828210217497,1.1789976683726315,2.1449374901153977,-2.357995336745263,303.14369999999997,113,Jones_2013_A_aromatica," Jones, R. M., Hedrich, S., & Johnson, D. B. (2013). Acidocella aromatica sp. nov.: An acidophilic heterotrophic alphaproteobacterium with unusual phenotypic traits. Extremophiles, 17(5), 841-850.",NA,NA,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Acidocella,aromatica,True,Aerobic,30.0
139_Sch_TF_TKP,Acidovorax sp. k33,schoolfield_two_factor_tpk,Specific Growth Rate,-1.7171349450152815,0.21114183950212095,305.22298474463145,48.40603049074449,NA,305.08100000000746,0.458208219161455,NA,NA,0.8535602114277375,-78.99426877517399,-73.7989821270977,NA,NA,schoolfield_two_factor_tpk,1,False,14,12,2,4,3.2810153502231527,0.06838396531288274,0.04088943101719502,-1.0574856976620746,3.388756926908451,3.420144236755643,2.193800045765941,302.86499999999995,139,Mannisto_2002_k33,"2002, Mannisto, M.K. and Puhakka, J.A., 'Psychrotolerant and microaerophilic bacteria in boreal groundwater', Microbial Ecology, 41 (9-16)",60.51,25.16,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Acidovorax,NA,True,Aerobic,NA
