"Species","Species.1","Trait","E","Est_Tpk","Est_Response","Rank","Points_Before_Peak","Est_Tpk_std","Est_Response_std","E_std","ConKingdom","ConPhylum","ConClass","ConOrder","ConFamily","ConGenus","RespiratoryPathway","TempPref"
290,"Methanobacterium thermoautotrophicum","CH4 produced",0.70982020049806,340.55000000001,13.0043926997787,1,5,1.00973590290784,1.2770973835142,0.164111062605099,"Archaea","Euryarchaeota","Methanobacteria","Methanobacteriales","Methanobacteriaceae","Methanobacterium","D1","Thermophile"
299,"Methanomicrobiaceae sp","uMols methane",0.634588414284778,335.113000000006,253.356170545464,1,5,1.31829247735358,206.275911572178,0.182278369919836,"Archaea","Euryarchaeota","Methanomicrobia","Methanomicrobiales","Methanomicrobiaceae",NA,"D1","Thermophile"
303,"Methanosaeta concilii","Methanogenesis",1.02739594645656,310.991000000009,0.180811681767096,1,8,0.928939975210127,0.0289234669688808,0.188363397531626,"Archaea","Euryarchaeota","Methanomicrobia","Methanosarcinales","Methanosaetaceae","Methanosaeta","D1","Mesophile"
304,"Methanosarcina barkeri","Methanogenesis",0.949154495511604,309.850000000007,67.0657958903594,1,3,NA,NA,NA,"Archaea","Euryarchaeota","Methanomicrobia","Methanosarcinales","Methanosarcinaceae","Methanosarcina","D1","Mesophile"
305,"Methanosarcina sp.","Methanogenesis",2.21486803206677,330.268000000005,214.480841288687,1,4,0.118319863083112,1.37856999404456,0.0607908560069084,"Archaea","Euryarchaeota","Methanomicrobia","Methanosarcinales","Methanosarcinaceae","Methanosarcina","D1","Thermophile"
306,"Methanosarcina tm-1.","Methanogenesis",0.855173508975517,322.550000000004,0.0567528223956108,1,3,0.918382493176395,0.00896343890618621,0.229741978143801,"Archaea","Euryarchaeota","Methanomicrobia","Methanosarcinales","Methanosarcinaceae","Methanosarcina","D1","Mesophile"
307,"Methanothermobacter thermautotrophicus","Methanogenesis",0.702074442006933,340.59900000001,12.984134103584,1,5,0.926864227119659,1.03235520016602,0.157471301660945,"Archaea","Euryarchaeota","Methanobacteria","Methanobacteriales","Methanobacteriaceae","Methanothermobacter","D1","Thermophile"
511,"Sulfobacillus thermosulfidooxidans","Fe3+ Oxidation Rate",0.527129918186291,324.501600000006,4.26667917981408,1,15,1.20284016303661,1.64245052189008,0.112896434973118,"Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiales Family XVII. Incertae Sedis","Sulfobacillus","F4","Thermophile"
515,"Sulfolobus metallicus","Sulphur Oxidation Rate",0.930449080267776,344.348900000006,0.228246810404693,1,19,1.42580452217505,0.0434051100392267,0.16853183416194,"Archaea","Crenarchaeota","Thermoprotei","Sulfolobales","Sulfolobaceae","Sulfolobus","C16","Thermophile"
559,"Thermodesulfobium narugense","SO4 Reduction Rate",1.01774239055674,325.844200000006,1.17073445783824,1,5,0.526624638618557,0.37617111236101,0.186115793421888,"Bacteria","Firmicutes","Clostridia","Thermoanaerobacterales","Thermodesulfobiaceae","Thermodesulfobium","C1","Thermophile"
578,"Thiobacillus sp. ti-1","H2S Production",0.659893314070921,327.205400000007,148.903949378823,1,4,1.42647804608359,27.7383940008563,0.204439012854393,"Bacteria","Proteobacteria","Betaproteobacteria","Hydrogenophilales","Hydrogenophilaceae","Thiobacillus","C19","Thermophile"
