,Species,Species.1,Trait,E,Est_Tpk,Est_Response,Rank,Points_Before_Peak,Est_Tpk_std,Est_Response_std,E_std,ConKingdom,ConPhylum,ConClass,ConOrder,ConFamily,ConGenus,Best_Guess,TempPref,Pathogen,Pathogen_type,Pathogen_len,Pathogen_ES,Pathogen_ES_max,Pathogen_ES_min,Pathogen_ES_median,Best_Guess_len,Best_Guess_ES,Best_Guess_ES_max,Best_Guess_ES_min,Best_Guess_ES_median,TempPref_len,TempPref_ES,TempPref_ES_max,TempPref_ES_min,TempPref_ES_median,Pathogen_type_len,Pathogen_type_ES,Pathogen_type_ES_max,Pathogen_type_ES_min,Pathogen_type_ES_median
12,201,Halobacterium sp. acam32,Specific Growth Rate,1.11321410601424,302.629,0.425976463785,1,19,0.663022624048531,0.0350052837827782,0.191386697233865,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,Halobacterium,Aerobic,Mesophile,Non-pathogen,,259.0,0.8918155342717898,0.9580703154542696,0.8262736181934608,0.7967168069953979,241.0,0.8326910489057424,0.8808244203099652,0.7894662680724494,0.848777145581119,285.0,0.8482998350134399,0.8998210456989797,0.796423751641576,0.8152557070658379,,,,,
13,202,Halobacterium sp. acam34,Specific Growth Rate,0.8941811219913108,308.471,0.591928183976,1,22,0.598462762218859,0.0713900528161811,0.132505544600248,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,Halobacterium,Aerobic,Mesophile,Non-pathogen,,259.0,0.8918155342717898,0.9580703154542696,0.8262736181934608,0.7967168069953979,241.0,0.8326910489057424,0.8808244203099652,0.7894662680724494,0.848777145581119,285.0,0.8482998350134399,0.8998210456989797,0.796423751641576,0.8152557070658379,,,,,
14,203,Halobaculum gomorrense,Specific Growth Rate,0.3842909537113039,317.7195,13.800864808,1,11,0.24480520827798397,0.10672124914739098,0.0184888922814382,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Haloferacaceae,Halobaculum,Aerobic,Mesophile,Non-pathogen,,259.0,0.8918155342717898,0.9580703154542696,0.8262736181934608,0.7967168069953979,241.0,0.8326910489057424,0.8808244203099652,0.7894662680724494,0.848777145581119,285.0,0.8482998350134399,0.8998210456989797,0.796423751641576,0.8152557070658379,,,,,
15,205,Haloferax volcanii,Specific Growth Rate,0.34694776792479703,317.9307,16.0155060552,1,11,0.259609784099195,0.208106681899186,0.0139047913518475,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Haloferacaceae,Haloferax,Aerobic,Mesophile,Non-pathogen,,259.0,0.8918155342717898,0.9580703154542696,0.8262736181934608,0.7967168069953979,241.0,0.8326910489057424,0.8808244203099652,0.7894662680724494,0.848777145581119,285.0,0.8482998350134399,0.8998210456989797,0.796423751641576,0.8152557070658379,,,,,
16,207,Halomonas campisalis,Specific Growth Rate,1.17367829012043,305.29400000000004,3.5888075007699998,1,4,1.69611803345934,0.7733366541705521,0.5431960726928189,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Halomonas,Aerobic,Mesophile,Non-pathogen,,259.0,0.8918155342717898,0.9580703154542696,0.8262736181934608,0.7967168069953979,241.0,0.8326910489057424,0.8808244203099652,0.7894662680724494,0.848777145581119,285.0,0.8482998350134399,0.8998210456989797,0.796423751641576,0.8152557070658379,,,,,
17,208,Halomonas elongata,Specific Growth Rate,0.893373013533707,309.943861109,22.709090118699997,1,13,0.266268116754583,0.8241065112961898,0.0460313903246667,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Halomonas,Aerobic,Mesophile,Non-pathogen,,259.0,0.8918155342717898,0.9580703154542696,0.8262736181934608,0.7967168069953979,241.0,0.8326910489057424,0.8808244203099652,0.7894662680724494,0.848777145581119,285.0,0.8482998350134399,0.8998210456989797,0.796423751641576,0.8152557070658379,,,,,
18,209,Halomonas elongata,Specific Growth Rate,1.1511247672137799,311.67919291,3.1921414201099996,1,10,0.7466083833327339,0.5233914440976261,0.18116501677127697,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Halomonas,Aerobic,Mesophile,Non-pathogen,,259.0,0.8918155342717898,0.9580703154542696,0.8262736181934608,0.7967168069953979,241.0,0.8326910489057424,0.8808244203099652,0.7894662680724494,0.848777145581119,285.0,0.8482998350134399,0.8998210456989797,0.796423751641576,0.8152557070658379,,,,,
19,210,Halomonas elongata,Specific Growth Rate,0.776674833200533,309.389834329,17.4475274293,1,12,0.18078451261104997,0.5002018216578379,0.033971080876803,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Halomonas,Aerobic,Mesophile,Non-pathogen,,259.0,0.8918155342717898,0.9580703154542696,0.8262736181934608,0.7967168069953979,241.0,0.8326910489057424,0.8808244203099652,0.7894662680724494,0.848777145581119,285.0,0.8482998350134399,0.8998210456989797,0.796423751641576,0.8152557070658379,,,,,
20,212,Halomonas halodenitrificans,Specific Growth Rate,0.6787385319922811,306.781751533,10.7301500784,1,11,0.5048037143287629,0.505580068598283,0.0631490612970348,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Halomonas,Aerobic,Mesophile,Non-pathogen,,259.0,0.8918155342717898,0.9580703154542696,0.8262736181934608,0.7967168069953979,241.0,0.8326910489057424,0.8808244203099652,0.7894662680724494,0.848777145581119,285.0,0.8482998350134399,0.8998210456989797,0.796423751641576,0.8152557070658379,,,,,
21,213,Halomonas halodenitrificans,Specific Growth Rate,0.7868137279959171,305.27587195,2.36053473523,1,9,0.412184618830054,0.128340989227798,0.0740252837599799,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Halomonas,Aerobic,Mesophile,Non-pathogen,,259.0,0.8918155342717898,0.9580703154542696,0.8262736181934608,0.7967168069953979,241.0,0.8326910489057424,0.8808244203099652,0.7894662680724494,0.848777145581119,285.0,0.8482998350134399,0.8998210456989797,0.796423751641576,0.8152557070658379,,,,,
22,214,Halomonas halodenitrificans,Specific Growth Rate,0.961241291781057,307.22977197299997,9.138580602989999,1,12,0.755185522398983,1.3084944825846498,0.10122556571904902,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Halomonas,Aerobic,Mesophile,Non-pathogen,,259.0,0.8918155342717898,0.9580703154542696,0.8262736181934608,0.7967168069953979,241.0,0.8326910489057424,0.8808244203099652,0.7894662680724494,0.848777145581119,285.0,0.8482998350134399,0.8998210456989797,0.796423751641576,0.8152557070658379,,,,,
23,215,Halomonas halodenitrificans,Specific Growth Rate,0.7779030179892841,305.42256259,4.56635597861,1,11,0.569733542983163,0.282167092647082,0.0938654697907801,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Halomonas,Aerobic,Mesophile,Non-pathogen,,259.0,0.8918155342717898,0.9580703154542696,0.8262736181934608,0.7967168069953979,241.0,0.8326910489057424,0.8808244203099652,0.7894662680724494,0.848777145581119,285.0,0.8482998350134399,0.8998210456989797,0.796423751641576,0.8152557070658379,,,,,
24,216,Halomonas subglaciescola,Specific Growth Rate,0.892056180504223,291.443,0.011636146291799999,1,21,0.354813063457446,0.000541351991259282,0.0882890404146242,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Halomonas,Aerobic,Mesophile,Non-pathogen,,259.0,0.8918155342717898,0.9580703154542696,0.8262736181934608,0.7967168069953979,241.0,0.8326910489057424,0.8808244203099652,0.7894662680724494,0.848777145581119,285.0,0.8482998350134399,0.8998210456989797,0.796423751641576,0.8152557070658379,,,,,
25,217,Halomonas subglaciescola,Specific Growth Rate,1.0987462856535402,295.368,0.023830055653900003,1,19,0.28216583776218607,0.0010472144817808599,0.09721673382460101,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Halomonas,Aerobic,Mesophile,Non-pathogen,,259.0,0.8918155342717898,0.9580703154542696,0.8262736181934608,0.7967168069953979,241.0,0.8326910489057424,0.8808244203099652,0.7894662680724494,0.848777145581119,285.0,0.8482998350134399,0.8998210456989797,0.796423751641576,0.8152557070658379,,,,,
26,218,Halomonas subglaciescola,Specific Growth Rate,0.907992494551481,294.015,0.0166007366341,1,23,0.244247395073166,0.000521070289384143,0.063912626983311,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Halomonas,Aerobic,Mesophile,Non-pathogen,,259.0,0.8918155342717898,0.9580703154542696,0.8262736181934608,0.7967168069953979,241.0,0.8326910489057424,0.8808244203099652,0.7894662680724494,0.848777145581119,285.0,0.8482998350134399,0.8998210456989797,0.796423751641576,0.8152557070658379,,,,,
27,219,Halomonas subglaciescola,Specific Growth Rate,0.8329501540832042,294.983,0.027380441646199998,1,21,0.298032867315067,0.0012848317274385599,0.0442522548726671,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Halomonas,Aerobic,Mesophile,Non-pathogen,,259.0,0.8918155342717898,0.9580703154542696,0.8262736181934608,0.7967168069953979,241.0,0.8326910489057424,0.8808244203099652,0.7894662680724494,0.848777145581119,285.0,0.8482998350134399,0.8998210456989797,0.796423751641576,0.8152557070658379,,,,,
28,221,Halomonas subglaciescola,Specific Growth Rate,0.38975005807789104,294.768,0.00814175310383,1,13,0.7235187179273841,0.0005573234330404059,0.0642698369808675,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Halomonas,Aerobic,Mesophile,Non-pathogen,,259.0,0.8918155342717898,0.9580703154542696,0.8262736181934608,0.7967168069953979,241.0,0.8326910489057424,0.8808244203099652,0.7894662680724494,0.848777145581119,285.0,0.8482998350134399,0.8998210456989797,0.796423751641576,0.8152557070658379,,,,,
29,223,Halorubrum saccharovorum,Specific Growth Rate,0.405366582448192,316.5407,12.417401115999999,1,11,0.407835150520496,0.19373036097192803,0.0331072492452295,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Haloferacaceae,Halorubrum,Aerobic,Mesophile,Non-pathogen,,259.0,0.8918155342717898,0.9580703154542696,0.8262736181934608,0.7967168069953979,241.0,0.8326910489057424,0.8808244203099652,0.7894662680724494,0.848777145581119,285.0,0.8482998350134399,0.8998210456989797,0.796423751641576,0.8152557070658379,,,,,
30,334,Natrialba asiatica,Specific Growth Rate,0.38558581505706196,316.9448,13.1361194641,1,11,0.421699371590806,0.282432949009151,0.0346879723009294,Archaea,Euryarchaeota,Halobacteria,Natrialbales,Natrialbaceae,Natrialba,Aerobic,Mesophile,Non-pathogen,,259.0,0.8918155342717898,0.9580703154542696,0.8262736181934608,0.7967168069953979,241.0,0.8326910489057424,0.8808244203099652,0.7894662680724494,0.848777145581119,285.0,0.8482998350134399,0.8998210456989797,0.796423751641576,0.8152557070658379,,,,,
31,336,Natronobacterium gregoryi,Specific Growth Rate,0.40923319410422104,318.9676,14.577110541300002,1,12,0.41035300656882795,0.407104553241461,0.0352152607287413,Archaea,Euryarchaeota,Halobacteria,Natrialbales,Natrialbaceae,Natronobacterium,Aerobic,Mesophile,Non-pathogen,,259.0,0.8918155342717898,0.9580703154542696,0.8262736181934608,0.7967168069953979,241.0,0.8326910489057424,0.8808244203099652,0.7894662680724494,0.848777145581119,285.0,0.8482998350134399,0.8998210456989797,0.796423751641576,0.8152557070658379,,,,,
32,337,Natronococcus occultus,Specific Growth Rate,0.6083908963299589,319.0631,12.4253656818,1,12,0.652028765263449,1.82531082475425,0.117685389182341,Archaea,Euryarchaeota,Halobacteria,Natrialbales,Natrialbaceae,Natronococcus,Aerobic,Mesophile,Non-pathogen,,259.0,0.8918155342717898,0.9580703154542696,0.8262736181934608,0.7967168069953979,241.0,0.8326910489057424,0.8808244203099652,0.7894662680724494,0.848777145581119,285.0,0.8482998350134399,0.8998210456989797,0.796423751641576,0.8152557070658379,,,,,
33,338,Natronomonas pharaonis,Specific Growth Rate,0.5774494709472521,318.1038,14.5944899355,1,11,0.404435099861615,0.285834952877162,0.0474870310667311,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,Natronomonas,Aerobic,Mesophile,Non-pathogen,,259.0,0.8918155342717898,0.9580703154542696,0.8262736181934608,0.7967168069953979,241.0,0.8326910489057424,0.8808244203099652,0.7894662680724494,0.848777145581119,285.0,0.8482998350134399,0.8998210456989797,0.796423751641576,0.8152557070658379,,,,,
34,339,Natronorubrum bangense,Specific Growth Rate,0.45436389558083295,318.7757,13.5372784674,1,12,0.226630955520254,0.27564809894479697,0.0252043883321373,Archaea,Euryarchaeota,Halobacteria,Natrialbales,Natrialbaceae,Natronorubrum,Aerobic,Mesophile,Non-pathogen,,259.0,0.8918155342717898,0.9580703154542696,0.8262736181934608,0.7967168069953979,241.0,0.8326910489057424,0.8808244203099652,0.7894662680724494,0.848777145581119,285.0,0.8482998350134399,0.8998210456989797,0.796423751641576,0.8152557070658379,,,,,
35,341,Nocardioides sp. k44,Specific Growth Rate,0.8152557070658379,297.189,0.266847460555,1,6,1.33850689060967,0.0517488201467006,0.299375639573438,Bacteria,Actinobacteria,Actinobacteria,Propionibacteriales,Nocardioidaceae,Nocardioides,Aerobic,Mesophile,Non-pathogen,,259.0,0.8918155342717898,0.9580703154542696,0.8262736181934608,0.7967168069953979,241.0,0.8326910489057424,0.8808244203099652,0.7894662680724494,0.848777145581119,285.0,0.8482998350134399,0.8998210456989797,0.796423751641576,0.8152557070658379,,,,,
36,390,Profundimonas piezophila,Specific Growth Rate,0.0100059589948951,283.25984,0.320741387236,1,3,5.96538154090578,0.0828264371724264,0.111380347898773,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Oceanospirillaceae,Profundimonas,Aerobic,Mesophile,Non-pathogen,,259.0,0.8918155342717898,0.9580703154542696,0.8262736181934608,0.7967168069953979,241.0,0.8326910489057424,0.8808244203099652,0.7894662680724494,0.848777145581119,285.0,0.8482998350134399,0.8998210456989797,0.796423751641576,0.8152557070658379,,,,,
37,405,Psychroflexus torquis,Specific Growth Rate,0.370424451348523,288.6245,1.3677989228,1,18,0.5208434601681861,0.0632302480393373,0.0545978242526804,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Psychroflexus,Aerobic,Mesophile,Non-pathogen,,259.0,0.8918155342717898,0.9580703154542696,0.8262736181934608,0.7967168069953979,241.0,0.8326910489057424,0.8808244203099652,0.7894662680724494,0.848777145581119,285.0,0.8482998350134399,0.8998210456989797,0.796423751641576,0.8152557070658379,,,,,
38,420,Rhodanobacter sp. k27,Specific Growth Rate,0.38977657590591996,304.387,0.227755066161,1,11,1.7427036299686998,0.0370564905855843,0.0867359570069768,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Rhodanobacteraceae,Rhodanobacter,Aerobic,Mesophile,Non-pathogen,,259.0,0.8918155342717898,0.9580703154542696,0.8262736181934608,0.7967168069953979,241.0,0.8326910489057424,0.8808244203099652,0.7894662680724494,0.848777145581119,285.0,0.8482998350134399,0.8998210456989797,0.796423751641576,0.8152557070658379,,,,,
39,518,Sulfobacillus benefaciens,Specific Growth Rate,1.4283729001784,310.9695,4.78346062141,1,3,0.7821347738751421,0.7668432658659309,0.616557363340621,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiales Family XVII. Incertae Sedis,Sulfobacillus,Aerobic,Mesophile,Non-pathogen,,259.0,0.8918155342717898,0.9580703154542696,0.8262736181934608,0.7967168069953979,241.0,0.8326910489057424,0.8808244203099652,0.7894662680724494,0.848777145581119,285.0,0.8482998350134399,0.8998210456989797,0.796423751641576,0.8152557070658379,,,,,
40,597,Vibrio  psychroerythrus,Specific Growth Rate,1.2778911241326598,285.653255803,2.58475234726,1,4,0.583465395132609,0.372271803401576,0.473852388874176,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio ,Aerobic,Mesophile,Non-pathogen,,259.0,0.8918155342717898,0.9580703154542696,0.8262736181934608,0.7967168069953979,241.0,0.8326910489057424,0.8808244203099652,0.7894662680724494,0.848777145581119,285.0,0.8482998350134399,0.8998210456989797,0.796423751641576,0.8152557070658379,,,,,
41,117,Desulfitobacterium dehalogenans,Specific Growth Rate,0.806366293945636,311.58982000000003,3.8549909044999997,1,16,0.421197863242539,0.184245220558413,0.0926592272455429,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptococcaceae,Desulfitobacterium,Fermentation,Mesophile,Non-pathogen,,259.0,0.8918155342717898,0.9580703154542696,0.8262736181934608,0.7967168069953979,67.0,0.8887729235370238,0.9858363380929985,0.7911366735748689,0.8373897717250809,285.0,0.8482998350134399,0.8998210456989797,0.796423751641576,0.8152557070658379,,,,,
42,118,Desulfobacter curvatus,Specific Growth Rate,0.8024795133685408,304.32228,0.9466757369850001,1,19,0.252368282476283,0.0258612121987358,0.0612473368015909,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobacteraceae,Desulfobacter,Fermentation,Mesophile,Non-pathogen,,259.0,0.8918155342717898,0.9580703154542696,0.8262736181934608,0.7967168069953979,67.0,0.8887729235370238,0.9858363380929985,0.7911366735748689,0.8373897717250809,285.0,0.8482998350134399,0.8998210456989797,0.796423751641576,0.8152557070658379,,,,,
43,125,Desulforhopalus vacuolatus,Specific Growth Rate,0.6164741152404449,294.596967,0.7535206356020001,1,20,0.32485593497514004,0.0702962020796961,0.0606188864772495,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobulbaceae,Desulforhopalus,Fermentation,Mesophile,Non-pathogen,,259.0,0.8918155342717898,0.9580703154542696,0.8262736181934608,0.7967168069953979,67.0,0.8887729235370238,0.9858363380929985,0.7911366735748689,0.8373897717250809,285.0,0.8482998350134399,0.8998210456989797,0.796423751641576,0.8152557070658379,,,,,
44,197,Halanaerobium alcaliphilum,Specific Growth Rate,1.1456010022702199,310.2462,7.15894907485,1,5,2.0701893835083798,1.56370907137353,0.517936549316698,Bacteria,Firmicutes,Clostridia,Halanaerobiales,Halanaerobiaceae,Halanaerobium,Fermentation,Mesophile,Non-pathogen,,259.0,0.8918155342717898,0.9580703154542696,0.8262736181934608,0.7967168069953979,67.0,0.8887729235370238,0.9858363380929985,0.7911366735748689,0.8373897717250809,285.0,0.8482998350134399,0.8998210456989797,0.796423751641576,0.8152557070658379,,,,,
45,591,Trichococcus patagoniensis,Specific Growth Rate,0.5366106404135039,305.25,3.21736621421,1,8,1.78121659760607,2.9210149333458,0.0529865743537197,Bacteria,Firmicutes,Bacilli,Lactobacillales,Carnobacteriaceae,Trichococcus,Fermentation,Mesophile,Non-pathogen,,259.0,0.8918155342717898,0.9580703154542696,0.8262736181934608,0.7967168069953979,67.0,0.8887729235370238,0.9858363380929985,0.7911366735748689,0.8373897717250809,285.0,0.8482998350134399,0.8998210456989797,0.796423751641576,0.8152557070658379,,,,,
46,30,Acidithiobacillus ferrivorans,Specific Growth Rate,1.8745640764396598,301.4998,2.9781636032099996,1,4,0.416711276688231,0.33714702884258896,0.409746919715581,Bacteria,Proteobacteria,Acidithiobacillia,Acidithiobacillales,Acidithiobacillaceae,Acidithiobacillus,F4,Mesophile,Non-pathogen,,259.0,0.8918155342717898,0.9580703154542696,0.8262736181934608,0.7967168069953979,2.0,1.7206973235890706,1.8745640764396598,1.57672498670041,1.725644531570035,285.0,0.8482998350134399,0.8998210456989797,0.796423751641576,0.8152557070658379,,,,,
47,523,Sulfobacillus thermotolerans,Specific Growth Rate,1.57672498670041,312.0524,7.76020848773,1,4,0.9698357799135,0.56273388196634,0.3190930119265589,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiales Family XVII. Incertae Sedis,Sulfobacillus,F4,Mesophile,Non-pathogen,,259.0,0.8918155342717898,0.9580703154542696,0.8262736181934608,0.7967168069953979,2.0,1.7206973235890706,1.8745640764396598,1.57672498670041,1.725644531570035,285.0,0.8482998350134399,0.8998210456989797,0.796423751641576,0.8152557070658379,,,,,
48,49,Aphanizomenon flosaquae,Specific Growth Rate,0.161855035235532,300.35,0.407910302097,1,5,1.5279957367208201,3.71878736921288,0.0425373642200912,Bacteria,Cyanobacteria,Cyanophyceae,Nostocales,Nostocaceae,Aphanizomenon,PhotosystemII,Mesophile,Non-pathogen,,259.0,0.8918155342717898,0.9580703154542696,0.8262736181934608,0.7967168069953979,85.0,0.9624270112138402,1.1337521620103617,0.8109100318883172,0.8467050056874609,285.0,0.8482998350134399,0.8998210456989797,0.796423751641576,0.8152557070658379,,,,,
