,Species,Model_name,Trait,B0,E,T_pk,E_D,E_D_L,Est_Tpk,Max_response,Slope,Intercept,R_Squared,AIC,BIC,Delta_AIC,Delta_BIC,Best_Type,Rank,Corrected,Number_Of_Data_Points,Points_Before_Peak,Points_After_Peak,Number_Of_Variables,Tpk_std,Response_std,E_std,B0_est,E_est,E_D_est,E_D_L_est,T_pk_est,FinalID,OriginalID,Citation,Latitude,Longitude,ConKingdom,ConPhylum,ConClass,ConOrder,ConFamily,ConGenus,ConSpecies,OptimalConditions,Best_Guess,ConLabGrowthTemp
69_Sch_TF_TKP,Acidianus brierleyi,schoolfield_two_factor_tpk,Time To Double Fe3+ concentration,-17.491618344311004,2.2386903433061587,342.45017551803346,4.196426947216711,NA,342.3557,2.68187912335,NA,NA,0.8847752166268164,-25.078056464767563,-19.882769816691273,NA,NA,schoolfield_two_factor_tpk,1,False,14,9,5,4,0.8954529897675646,0.4512287997044932,0.6895436175669909,-1.2918864063800417,0.6333532886696223,1.2269890461967643,-4.206658933010962,341.519,69,Franzman_2005_A_brierleyi_2,"2005,  FRANZMANN, P.D. et al , 'Effects of temperature on the rates of iron and sulfur oxidationby selected bioleaching Bacteria and Archaea: Application of the Ratkowsky equation', Minerals Engineering, 18, (1304-1314)",NA,NA,Archaea,Crenarchaeota,Thermoprotei,Sulfolobales,Sulfolobaceae,Acidianus,brierleyi,True,C19,NA
328_Sch_TF_TKP,Acidianus brierleyi,schoolfield_two_factor_tpk,Sulphur Oxidation Rate,-7.854744625828832,0.67159150859625,349.41439047226777,3.3735261007790927,NA,349.289,0.15703089291,NA,NA,0.9738996944655489,-179.3030804186291,-172.5808855227969,NA,NA,schoolfield_two_factor_tpk,1,False,19,16,3,4,0.574633578900633,0.006460998982782109,0.05248823264138721,-4.3130977652350175,1.4655015994431495,2.097770915294146,0.48936077873951966,352.47749999999996,328,Fig3_A_brierleyi,"2005, P.D. Franzmann and C.M. Haddad and R.B. Hawkes and W.J. Robertson and J.J. Plumb, 'Effects of temperature on the rates of iron and sulfur oxidation by selected bioleaching Bacteria and Archaea: Application of the Ratkowsky equation'. Minerals Engineering, 18(13-14),pp1304-1314",NA,NA,Archaea,Crenarchaeota,Thermoprotei,Sulfolobales,Sulfolobaceae,Acidianus,brierleyi,True,C19,NA
333_Sch_TF_TKP,Acidianus brierleyi,schoolfield_two_factor_tpk,Fe3+ Oxidation Rate,-16.67948618313631,2.131892806966264,342.70477459015797,4.182228016966557,NA,342.5823,2.67484214992,NA,NA,0.882177951255171,-24.817644092990534,-19.622357444914243,NA,NA,schoolfield_two_factor_tpk,1,False,14,9,5,4,0.9514622538813464,0.4665626995018647,0.6548394594919137,-1.2639776182629652,0.6425368077827835,1.249754620871598,-7.052604924794381,341.5694,333,Fig4_A_brierleyi,"2005, P.D. Franzmann and C.M. Haddad and R.B. Hawkes and W.J. Robertson and J.J. Plumb, 'Effects of temperature on the rates of iron and sulfur oxidation by selected bioleaching Bacteria and Archaea: Application of the Ratkowsky equation'. Minerals Engineering, 18(13-14),pp1304-1314",NA,NA,Archaea,Crenarchaeota,Thermoprotei,Sulfolobales,Sulfolobaceae,Acidianus,brierleyi,True,C19,NA
228_Sch_TF_TKP,Acidianus infernus,schoolfield_two_factor_tpk,Specific Growth Rate,-8.742792362609807,1.1400449558804346,365.2519408389186,1.5438263603601308,NA,365.1735,8.37560187089,NA,NA,0.984414565782854,-5.710908937132222,-4.752111590991948,NA,NA,schoolfield_two_factor_tpk,1,False,6,5,1,4,3.6281844159122603,2.2335042153118967,0.47260942474172407,0.5165054628971552,1.6351705478626037,10.005652969685732,-3.2703410957252075,363.1642,228,Segerer_1986_A_infernus,"Segerer, A. et al 1986, 'Acidianus infernus gen. nov. sp. nov. and Acidianus brierleyi comb. nov. : Facultatively Aerobic, Extremely Acidophilic Thermophilic Sulfur-Metabolizing Archaebacteria' INTERNATIONAL JOURNAL OF SYSTEMATIC BACTERIOLOGY 36 (559-564) ",NA,NA,Archaea,Crenarchaeota,Thermoprotei,Sulfolobales,Sulfolobaceae,Acidianus,infernus,True,C19,NA
515_Sch_TF_TKP,Acidianus manzaensis,schoolfield_two_factor_tpk,Specific Growth Rate,-6.5408384453297135,0.7225314752915029,352.03582792341484,3.267834192818139,NA,351.9619,1.08940165779,NA,NA,0.9919887193177205,-29.11484374783045,-29.067654185659947,NA,NA,schoolfield_two_factor_tpk,1,False,5,2,3,4,0.9175148554657755,0.06621982828259143,0.1415792506947905,-0.9694383760850471,1.8892805328403246,2.6802016849914745,-3.778561065680649,353.31329999999997,515,Yoshida_2006_A_manzaensis,"Yoshida, N., Nakasato, M., Ohmura, N., Ando, A., Saiki, H., Ishii, M., & Igarashi, Y. (2006). Acidianus manzaensis sp. nov., a novel thermoacidophilic Archaeon growing autotrophically by the oxidation of H2 with the reduction of Fe 3+. Current Microbiology, 53(5), 406-411.",40.27,140.8,Archaea,Crenarchaeota,Thermoprotei,Sulfolobales,Sulfolobaceae,Acidianus,manzaensis,True,F3,70.0
82_Sch_TF_TKP,Acidianus sp. ale1,schoolfield_two_factor_tpk,Specific Growth Rate,-3.5493015482172665,0.48163682125012497,351.9573289238247,36.21767682043834,NA,351.8196,2.76297655855,NA,NA,0.9752725793566058,-15.851886690040956,-15.804697127870455,NA,NA,schoolfield_two_factor_tpk,1,False,5,4,1,4,NA,NA,NA,-0.060004813937029056,2.1207012360220405,2.6118930693135725,-4.241402472044081,348.2304,82,Giaveno_2013_ALE1,"2013,  Giaveno, M.A et al., 'Physiologic Versatility and Growth Flexibility as the Main Characteristics of a Novel Thermoacidophilic Acidianus Strain Isolated from Copahue Geothermal Area in Argentina', ENVIRONMENTAL MICROBIOLOGY, 65, (336-346)",37.48,71.5,Archaea,Crenarchaeota,Thermoprotei,Sulfolobales,Sulfolobaceae,Acidianus,NA,True,F3,NA
59_Sch_TF_TKP,Acidibacter ferrireducens,schoolfield_two_factor_tpk,Specific Growth Rate,-6.288467165250563,1.553545159205769,307.61115075655175,4.660052280011906,NA,307.5216,2.00851379004,NA,NA,0.9754985219048972,-25.655051785555408,-23.925501040278842,NA,NA,schoolfield_two_factor_tpk,1,False,7,3,4,4,0.4827677599012863,0.19625235779740433,0.44798000373366104,-0.060004813937029056,1.1066468554787217,1.6432907507804844,-2.2132937109574433,308.1414,59,Falagan_2014_A_ferrireducens,"2014,  Falagan, C. & Johnson, DB., 'Acidibacter ferrireducens gen. nov., sp. nov.: an acidophilic ferriciron-reducing gammaproteobacterium', Extremophiles, 18, (1067-1073)",37.46066,6.49031,Bacteria,Proteobacteria,Gammaproteobacteria,NA,NA,Acidibacter,ferrireducens,True,Aerobic,NA
122_Sch_TF_TKP,Acidicaldus organivorans,schoolfield_two_factor_tpk,Specific Growth Rate,-13.134715530109185,1.7188362532500696,325.1348330111828,2.6438509690621586,NA,324.987,0.0810027865165,NA,NA,1.0,0.0,-290.83450259974137,NA,NA,schoolfield_two_factor_tpk,1,False,4,2,2,4,NA,NA,NA,-3.5103725559406387,1.542711214158038,3.3203855912068097,-3.0826163407115277,324.2689739392841,122,Johnson_2006_A_organivorus,"2006, Johnson, D. et al, 'Isolation and characterization of Acidicaldus organivorus, gen. nov., sp. nov.: a novel sulfur-oxidizing, ferric iron-reducing thermo-acidophilic heterotrophic Proteobacterium', Arch Microbiol, 185 (212-221)",44.0,110.0,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Acidicaldus,organivorans,True,Aerobic,45.0
216_Sch_TF_TKP,Acidilobus aceticus,schoolfield_two_factor_tpk,Specific Growth Rate,-17.674377340275118,2.054075819287732,357.4765261733818,3.2302947390361734,NA,357.4006,6.64800170153,NA,NA,0.9974486197904137,-18.8446341121058,-18.7974445499353,NA,NA,schoolfield_two_factor_tpk,1,False,5,3,2,4,0.3095141353800236,0.5512889811209787,0.3422496151394546,1.020088426963843,1.3760009281714147,3.307781389992094,-2.7520018563428295,358.188,216,Prokofeva_2000_A_aceticus,"Prokofeva, M. I., Miroshnichenko, M. L., Kostrikina, N. A., Chernyh, N. A., Kuznetsov, B. B., Tourova, T. P., & Bonch-Osmolovskaya, E. A. (2000). Acidilobus aceticus gen. nov., s.p. nov., a novel anaerobic thermoacidophilic archaeon from continental hot vents in Kamchatka. International Journal of Systematic and Evolutionary Microbiology, 50(6), 2001-2008.",NA,NA,Archaea,Crenarchaeota,Thermoprotei,Acidilobales,Acidilobaceae,Acidilobus,aceticus,True,Fermentation,80.0
33_Sch_TF_TKP,Acidilobus sulfurireducens,schoolfield_two_factor_tpk,Specific Growth Rate,-37.71577330889678,3.9685602421154966,353.4488742130897,7.138111763656408,NA,353.35,0.789603761927,NA,NA,0.8245116994694479,-27.82028381490013,-25.42307610650095,NA,NA,schoolfield_two_factor_tpk,1,False,8,4,4,4,0.9592177864076722,0.2264229251386253,2.9159399556111114,-1.5986166738025172,0.5812825577522374,1.0100145779090746,-1.1625651155044747,354.15,33,Boyd_Acidilobus_sulfurireducens_growth,"2007,  Boyd, E. et al, 'Isolation, Characterization, and Ecology of Sulfur-Respiring Crenarchaea Inhabiting Acid-Sulfate-Chloride-Containing Geothermal Springs in Yellowstone National Park', APPLIED AND ENVIRONMENTAL MICROBIOLOGY 73 (6669<U+0096>6677)",44.43,110.42,Archaea,Crenarchaeota,Thermoprotei,Acidilobales,Acidilobaceae,Acidilobus,sulfurireducens,True,C19,NA
35_Sch_TF_TKP,Acidilobus sulfurireducens,schoolfield_two_factor_tpk,Sulphide Production,-35.67652354822765,4.637350876460356,352.8372166198423,7.414549332575909,NA,352.75,2495.31855493,NA,NA,0.9679545711070784,88.32621079773357,90.72341850613275,NA,NA,schoolfield_two_factor_tpk,1,False,8,3,5,4,0.4293836396511677,292.8550319691147,1.8097332640272945,4.601704379011525,0.5666725918966533,1.0285410773992032,-1.1333451837933066,354.15,35,Boyd_Acidilobus_sulfurireducens_sulfur,"2007,  Boyd, E. et al, 'Isolation, Characterization, and Ecology of Sulfur-Respiring Crenarchaea Inhabiting Acid-Sulfate-Chloride-Containing Geothermal Springs in Yellowstone National Park', APPLIED AND ENVIRONMENTAL MICROBIOLOGY 73 (6669<U+0096>6677)",44.43,110.42,Archaea,Crenarchaeota,Thermoprotei,Acidilobales,Acidilobaceae,Acidilobus,sulfurireducens,True,C19,NA
71_Sch_TF_TKP,Acidimicrobium ferrooxidans,schoolfield_two_factor_tpk,Time To Double Fe3+ concentration,-5.3376758210469015,0.8609515810430846,318.900150442395,1.0568936459009808,NA,318.7773,0.169109794469,NA,NA,0.8548887013014269,-151.77718502455028,-145.32532623506944,NA,NA,schoolfield_two_factor_tpk,1,False,18,14,4,4,2.892031165076898,0.040851568052517495,0.45918039594208004,-2.504280313102386,3.0572245319292404,4.085342030910445,1.3364936866995802,319.02209999999997,71,Franzman_2005_A_ferrooxidans,"2005,  FRANZMANN, P.D. et al , 'Effects of temperature on the rates of iron and sulfur oxidationby selected bioleaching Bacteria and Archaea: Application of the Ratkowsky equation', Minerals Engineering, 18, (1304-1314)",NA,NA,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,Acidimicrobiaceae,Acidimicrobium,ferrooxidans,True,F4,NA
72_Sch_TF_TKP,Acidimicrobium ferrooxidans,schoolfield_two_factor_tpk,Time To Double Fe3+ concentration,-1.0213636179953347,0.5012799511934309,321.4219942698074,2.9661170458920525,NA,321.2812,7.32076821203,NA,NA,0.8351864866709124,-0.5347386401526943,5.631328080128386,NA,NA,schoolfield_two_factor_tpk,1,False,17,11,6,4,1.1476401410120125,0.6836786133297779,0.12397623718568838,0.9322270711725089,1.9833309073598218,4.028121118503233,-0.26485791255007185,320.40189999999996,72,Franzman_2005_A_ferrooxidans_2,"2005,  FRANZMANN, P.D. et al , 'Effects of temperature on the rates of iron and sulfur oxidationby selected bioleaching Bacteria and Archaea: Application of the Ratkowsky equation', Minerals Engineering, 18, (1304-1314)",NA,NA,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,Acidimicrobiaceae,Acidimicrobium,ferrooxidans,True,F4,NA
334_Sch_TF_TKP,Acidimicrobium ferrooxidans,schoolfield_two_factor_tpk,Fe3+ Oxidation Rate,-1.6162960127236428,0.6113998096961892,321.0424252764124,2.7210235863147103,NA,320.9758,7.40997415473,NA,NA,0.8825818247940724,-6.199227082936673,1.0233851056804415,NA,NA,schoolfield_two_factor_tpk,1,False,21,15,6,4,0.8852112742167015,0.5362482886621848,0.10820939880533822,0.4526539909106225,1.6245833380388734,3.775592281554843,0.8685209583642088,320.4726,334,Fig4_A_ferrooxidans,"2005, P.D. Franzmann and C.M. Haddad and R.B. Hawkes and W.J. Robertson and J.J. Plumb, 'Effects of temperature on the rates of iron and sulfur oxidation by selected bioleaching Bacteria and Archaea: Application of the Ratkowsky equation'. Minerals Engineering, 18(13-14),pp1304-1314",NA,NA,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,Acidimicrobiaceae,Acidimicrobium,ferrooxidans,True,F4,NA
96_Sch_TF_TKP,Acidiplasma cupricumulans,schoolfield_two_factor_tpk,Root(1/time to increase Fe2+ to 2g L^-1),6.770951832746596,0.44137544409742646,326.00371176189725,2.581880682468726,NA,325.9157,15102.0506661,NA,NA,0.9671287607482574,246.8930495272927,253.87171089506265,NA,NA,schoolfield_two_factor_tpk,1,False,20,15,5,4,0.35873598927353045,248.40233646684723,0.04117239081107153,9.033823388801764,2.214443502427767,4.950963312337936,0.9115563139452201,321.78909999999996,96,Hawkes_2006_1,"Hawkes, R. B., Franzmann, P. D., O'hara, G., & Plumb, J. J. (2006). Ferroplasma cupricumulans sp. nov., a novel moderately thermophilic, acidophilic archaeon isolated from an industrial-scale chalcocite bioleach heap. Extremophiles, 10(6), 525-530.",NA,NA,Archaea,Euryarchaeota,Thermoplasmata,Thermoplasmatales,Ferroplasmaceae,Acidiplasma,cupricumulans,True,F4,50.0
97_Sch_TF_TKP,Acidiplasma cupricumulans,schoolfield_two_factor_tpk,Root(1/time for turbidity to increase by 0.2),6.1783913831885044,0.5149747859408986,325.5923155990269,3.99973842205507,NA,325.467,14230.9364776,NA,NA,0.9293529080114206,289.8363781547462,297.05899034336335,NA,NA,schoolfield_two_factor_tpk,1,False,21,15,6,4,0.5213739924469992,459.61136125797145,0.06228322810232261,8.494279089138383,1.748421120272035,2.7047380950893984,1.047211139717462,321.7723,97,Hawkes_2006_2,"Hawkes, R. B., Franzmann, P. D., O'hara, G., & Plumb, J. J. (2006). Ferroplasma cupricumulans sp. nov., a novel moderately thermophilic, acidophilic archaeon isolated from an industrial-scale chalcocite bioleach heap. Extremophiles, 10(6), 525-530.",NA,NA,Archaea,Euryarchaeota,Thermoplasmata,Thermoplasmatales,Ferroplasmaceae,Acidiplasma,cupricumulans,True,F4,50.0
339_Sch_TF_TKP,Acidiplasma cupricumulans,schoolfield_two_factor_tpk,Fe2+ Oxidation Rate,-3.580319479643869,0.5764351157246852,327.9073622633132,5.103291446316965,NA,327.8551,1.47401862179,NA,NA,0.9628457512654229,-94.66827722345661,-87.68961585568665,NA,NA,schoolfield_two_factor_tpk,1,False,20,15,5,4,0.39054770515273723,0.042708834640837294,0.045290713694305616,-1.320596512262473,1.6368109612436808,2.3869919210052455,0.560822115460667,324.8302,339,Fig5_F_cyprexacervatum,"2005, P.D. Franzmann and C.M. Haddad and R.B. Hawkes and W.J. Robertson and J.J. Plumb, 'Effects of temperature on the rates of iron and sulfur oxidation by selected bioleaching Bacteria and Archaea: Application of the Ratkowsky equation'. Minerals Engineering, 18(13-14),pp1304-1314",NA,NA,Archaea,Euryarchaeota,Thermoplasmata,Thermoplasmatales,Ferroplasmaceae,Acidiplasma,cupricumulans,True,F4,NA
70_Sch_TF_TKP,Acidithiobacillus caldus,schoolfield_two_factor_tpk,Time To Increase SO4 to 3000mg/L,-3.6373281924444996,0.5165154192024759,305.1121154503105,5.201965841021008,NA,305.0169,0.235966395226,NA,NA,0.9767432681202531,-177.3806790967589,-170.40201772898897,NA,NA,schoolfield_two_factor_tpk,1,False,20,14,6,4,0.2890797640791171,0.0054249487577083646,0.033532315301900525,-1.6926456234507934,1.8084010067661902,2.4116529197379513,0.5061568791850033,302.5462,70,Franzman_2005_A_caldus,"2005,  FRANZMANN, P.D. et al , 'Effects of temperature on the rates of iron and sulfur oxidationby selected bioleaching Bacteria and Archaea: Application of the Ratkowsky equation', Minerals Engineering, 18, (1304-1314)",NA,NA,Bacteria,Proteobacteria,Acidithiobacillia,Acidithiobacillales,Acidithiobacillaceae,Acidithiobacillus,caldus,True,C16,NA
92_Sch_TF_TKP,Acidithiobacillus caldus,schoolfield_two_factor_tpk,Specific Growth Rate,-0.8679218241981009,0.4647456349475154,320.4465879326467,5.871936974532732,NA,320.3859,7.11949511844,NA,NA,0.9944672900364561,-20.370827960351406,-19.412030614211133,NA,NA,schoolfield_two_factor_tpk,1,False,6,4,2,4,0.2568613439193021,0.16615188851415197,0.03491258045685111,1.1702257234776428,2.0233615285157303,3.1683055706098617,-4.0467230570314605,318.17589999999996,92,Hallberg_1994_T_Caldus,"1994,  Hallberg, K.B. et al., 'Characterization of Thiobacillus caldus sp. nov., a moderately thermophilic acidophile', Microbiology 140, (3451-3456)",NA,NA,Bacteria,Proteobacteria,Acidithiobacillia,Acidithiobacillales,Acidithiobacillaceae,Acidithiobacillus,caldus,True,C14,45.0
329_Sch_TF_TKP,Acidithiobacillus caldus,schoolfield_two_factor_tpk,Sulphur Oxidation Rate,-2.9962073189183216,0.19908340847226125,323.55002089387295,22.45244408886004,NA,323.4851,0.184864654746,NA,NA,0.847078988933459,-148.02692761771985,-141.30473272188766,NA,NA,schoolfield_two_factor_tpk,1,False,19,17,2,4,1.1415142180457467,0.01108740520415542,0.037893294515584985,-2.503223788968186,3.0939955667043146,3.3526706639954957,1.5637246302481516,319.0285,329,Fig3_A_caldus,"2005, P.D. Franzmann and C.M. Haddad and R.B. Hawkes and W.J. Robertson and J.J. Plumb, 'Effects of temperature on the rates of iron and sulfur oxidation by selected bioleaching Bacteria and Archaea: Application of the Ratkowsky equation'. Minerals Engineering, 18(13-14),pp1304-1314",NA,NA,Bacteria,Proteobacteria,Gammaproteobacteria,Acidithiobacillales,Acidithiobacillaceae,Acidithiobacillus,caldus,True,C16,NA
93_Sch_TF_TKP,Acidithiobacillus ferrivorans,schoolfield_two_factor_tpk,Specific Growth Rate,-4.423122293833647,1.8745640764396618,301.6468873559542,2.1656927315542496,NA,301.4998,2.97816360321,NA,NA,0.9896507153707265,-36.7117802835857,-34.98222953830914,NA,NA,schoolfield_two_factor_tpk,1,False,7,4,3,4,0.41671127668823094,0.3371470288425888,0.4097469197155809,1.020088426963843,2.9056945856868857,7.557125134621925,-5.811389171373771,303.18649999999997,93,Hallberg_2009_A_ferrivorans,"Hallberg, K. B., Gonz??lez-Toril, E., & Johnson, D. B. (2009). Acidithiobacillus ferrivorans, sp. nov.; facultatively anaerobic, psychrotolerant iron-, and sulfur-oxidizing acidophiles isolated from metal mine-impacted environments. Extremophiles, 14(1), 9-19.",NA,NA,Bacteria,Proteobacteria,Acidithiobacillia,Acidithiobacillales,Acidithiobacillaceae,Acidithiobacillus,ferrivorans,True,F4,NA
